Name,Age,Department,Salary,Years_Experience,Promotion_Eligibility
Angel Becker DVM,40.0,Engineering,94200.0,13.0,Yes
John Adams,24.0,Operations,47900.0,1.0,No
Dr. Jose Gray DDS,34.0,Sales,47000.0,4.0,No
Chris Rogers,29.0,HR,42300.0,,No
Dylan Contreras,42.0,Engineering,108000.0,14.0,Yes
Wayne Gray,32.0,IT,74700.0,4.0,No
John Yang,36.0,IT,76300.0,9.0,Yes
Michael Bennett,33.0,IT,78900.0,8.0,Yes
John Duncan,43.0,Finance,84800.0,18.0,Yes
Amy Silva,21.0,Engineering,79500.0,0.0,No
Robert Hendrix,35.0,Engineering,89300.0,10.0,Yes
Carlos Ryan,30.0,Operations,57400.0,5.0,No
Crystal Cruz,35.0,Sales,72500.0,8.0,Yes
Eric Knox,21.0,Marketing,54200.0,0.0,No
Christopher Dudley,27.0,,70800.0,2.0,No
Jason Walker,37.0,Sales,67700.0,9.0,Yes
Michele Hawkins,41.0,IT,,11.0,Yes
Joanne Harmon,21.0,Finance,58100.0,0.0,No
Charles Ellis,29.0,Operations,61700.0,5.0,No
Mark Morrison,42.0,IT,,11.0,Yes
Mrs. Diane Reyes,23.0,Sales,44800.0,1.0,No
Christopher Campbell,42.0,Finance,90300.0,16.0,Yes
Eric Woods,38.0,Customer Support,62500.0,6.0,Yes
George Bradshaw,33.0,Sales,58600.0,9.0,Yes
Dustin Harris,46.0,HR,75300.0,19.0,Yes
Justin Potter,31.0,Finance,65500.0,7.0,Yes
Angelica Lopez,34.0,HR,58300.0,9.0,Yes
Richard Hunt,32.0,Marketing,73500.0,9.0,Yes
Ryan Thomas,42.0,IT,67400.0,8.0,Yes
Donna Reese,44.0,Finance,79200.0,11.0,Yes
Paula Kidd,33.0,Engineering,76900.0,6.0,Yes
Paul Wilson,24.0,,39400.0,2.0,No
Maureen Cross,,Sales,65200.0,9.0,Yes
Bianca Wood,32.0,Marketing,60400.0,9.0,Yes
Donald Terry,25.0,Customer Support,41900.0,2.0,No
Glenn Ford,53.0,Engineering,106900.0,23.0,Yes
Jennifer Jenkins,21.0,HR,36800.0,0.0,No
Emily Salazar,28.0,Operations,59200.0,4.0,No
Andrew Christian,28.0,IT,63700.0,2.0,No
Danielle Jones,38.0,IT,90300.0,11.0,Yes
Christine Wright,28.0,Finance,,2.0,Yes
Erika Brown,33.0,Engineering,84500.0,6.0,Yes
Amy Webb,24.0,Finance,,1.0,No
Erin Gardner,46.0,Finance,87700.0,15.0,Yes
Matthew Jones,25.0,Marketing,54500.0,3.0,Yes
Wayne Weaver,36.0,IT,92900.0,12.0,Yes
Jose Coleman,35.0,Finance,81200.0,10.0,Yes
Denise Maxwell,28.0,IT,75500.0,6.0,Yes
Sharon Johnson,34.0,Customer Support,48900.0,5.0,No
Alex Ramirez,21.0,IT,63300.0,0.0,No
William Phillips,39.0,IT,81200.0,11.0,Yes
Meagan West,40.0,HR,50700.0,6.0,Yes
Edwin Nunez,33.0,Operations,60800.0,9.0,
Michelle Patterson,42.0,IT,77200.0,11.0,Yes
Tammy Jackson,36.0,Marketing,85100.0,10.0,Yes
Mary Foster,44.0,Marketing,72300.0,15.0,Yes
Nicole Harvey,41.0,Engineering,84300.0,11.0,Yes
Thomas Harris,40.0,Operations,51000.0,7.0,Yes
Karina Vasquez,49.0,Engineering,94400.0,18.0,Yes
Janice Cunningham,21.0,Operations,43500.0,0.0,No
Sean Wagner,31.0,Marketing,53900.0,8.0,Yes
Reginald Morrow,36.0,Finance,75300.0,8.0,Yes
Tammy Daniel,23.0,IT,67900.0,1.0,No
Danielle Hamilton,35.0,,63800.0,4.0,No
Jasmine Scott,40.0,Marketing,65900.0,10.0,Yes
Laura Middleton,37.0,Operations,64200.0,12.0,Yes
Michelle Clark,26.0,Engineering,72000.0,3.0,Yes
Lori Riley,50.0,IT,102500.0,18.0,Yes
Danielle Wilson,38.0,IT,75500.0,6.0,Yes
Lori Green,41.0,Sales,65900.0,9.0,Yes
Tony Cooper,34.0,Operations,62500.0,5.0,
Regina Mitchell,39.0,Marketing,71100.0,12.0,Yes
Sabrina Miller,34.0,IT,83600.0,10.0,Yes
Jessica Rosario,21.0,Sales,52500.0,0.0,No
Nicole Acosta,21.0,Operations,39400.0,0.0,No
Crystal Mills,28.0,Marketing,53100.0,3.0,No
Andrew Dominguez,37.0,,90100.0,6.0,No
Erika Brown,39.0,,83800.0,13.0,Yes
Cynthia Jackson,39.0,Sales,57200.0,7.0,Yes
Jesse Pollard,32.0,Engineering,80400.0,7.0,
Ralph Hendricks,34.0,Finance,80400.0,10.0,No
Brittany Farmer,37.0,Operations,68000.0,8.0,Yes
Mitchell Jimenez,21.0,Engineering,77400.0,0.0,No
Sarah Wheeler,36.0,Operations,67000.0,8.0,Yes
Michelle Mendoza DVM,41.0,IT,80300.0,16.0,Yes
Ashley Jackson,38.0,IT,90100.0,12.0,Yes
John Olson,34.0,Engineering,,8.0,Yes
Jamie French,43.0,IT,76600.0,10.0,Yes
Kenneth King,38.0,,58500.0,7.0,No
Scott Foster,24.0,Sales,47300.0,2.0,Yes
