Name,Age,Department,Salary,Years_Experience,Gender,Promotion_Eligibility
Carlos,50.0,IT,82269.0,6.0,Female,Yes
Sara,51.0,IT,76948.0,5.0,Female,Yes
Nadia,37.0,IT,71302.0,2.0,Male,No
Ivan,28.0,IT,62598.0,0.0,Male,No
Sophia,41.0,IT,79213.0,5.0,Female,Yes
Lucia,25.0,IT,73763.0,4.0,Female,No
Peter,45.0,IT,80128.0,4.0,Male,Yes
Yuki,54.0,Finance,91507.0,11.0,Male,Yes
John,26.0,Finance,59805.0,2.0,Male,No
Ivan,53.0,Finance,74166.0,7.0,Female,Yes
Lucia,27.0,Finance,58850.0,0.0,Female,No
Aiko,49.0,IT,69202.0,3.0,Female,No
Ava,48.0,IT,77227.0,5.0,Male,Yes
Aiko,,IT,71809.0,2.0,Female,No
Riya,44.0,IT,85571.0,5.0,Male,Yes
Benjamin,45.0,Finance,87350.0,9.0,Female,Yes
Sneha,28.0,IT,71466.0,3.0,Male,No
Arjun,51.0,Sales,80659.0,9.0,Female,Yes
Amit,41.0,Marketing,57505.0,3.0,Male,Yes
Laura,46.0,Sales,58663.0,1.0,Female,No
Diego,57.0,Sales,80314.0,9.0,Male,Yes
Michael,55.0,IT,98308.0,10.0,Male,Yes
Layla,50.0,IT,101123.0,11.0,Female,Yes
Alexander,23.0,IT,68531.0,0.0,Male,No
Ahmed,50.0,IT,73066.0,4.0,Female,Yes
Anna,37.0,HR,58958.0,2.0,Male,No
Daniel,43.0,Finance,56312.0,1.0,Female,No
Omar,54.0,Sales,73171.0,8.0,Male,Yes
Riya,47.0,HR,71261.0,6.0,Female,Yes
David,22.0,Marketing,55488.0,0.0,Male,No
Amit,33.0,Finance,55479.0,1.0,Male,No
Sam,51.0,Marketing,72729.0,6.0,Male,Yes
Hana,55.0,IT,,12.0,Male,Yes
Omar,33.0,IT,75723.0,3.0,Male,No
Nora,29.0,IT,79205.0,2.0,Female,No
David,32.0,Marketing,59589.0,3.0,Male,Yes
Yuki,57.0,IT,111096.0,14.0,Female,Yes
Elena,40.0,Finance,62694.0,1.0,Male,Yes
Hana,44.0,Sales,70755.0,6.0,Male,Yes
Fatima,28.0,IT,68544.0,0.0,Female,No
Liam,50.0,HR,78990.0,11.0,Female,Yes
Aiko,41.0,HR,62827.0,6.0,Female,Yes
Aiko,53.0,Finance,72312.0,6.0,Male,Yes
Arjun,22.0,Finance,54556.0,0.0,Female,No
Marco,29.0,IT,68207.0,2.0,Female,No
Michael,38.0,IT,81338.0,3.0,Male,No
Sophia,31.0,Marketing,49905.0,1.0,Male,No
Zoe,53.0,Marketing,67074.0,6.0,Male,Yes
Arjun,26.0,Marketing,55347.0,3.0,Female,No
John,34.0,IT,57487.0,2.0,Male,No
Leo,33.0,Sales,47164.0,3.0,Male,No
Henry,35.0,Sales,44276.0,1.0,Male,No
Ivan,55.0,IT,101382.0,13.0,Male,Yes
Peter,44.0,HR,57589.0,3.0,Male,No
Michael,50.0,Marketing,69731.0,5.0,Female,Yes
Nora,55.0,HR,64912.0,6.0,Male,Yes
Rachel,43.0,IT,79400.0,4.0,Male,Yes
Anna,39.0,IT,72013.0,3.0,Female,No
Daniel,38.0,IT,90117.0,6.0,Female,Yes
Diego,27.0,Marketing,41883.0,1.0,Male,No
